strain_name,thc_percent,cbd_percent,cbn_percent,cannabinoid_source,myrcene,limonene,caryophyllene,linalool,pinene,humulene,terpinolene,ocimene,terpene_source,primary_effects,medical_uses,effects_source,strain_type,type_source,data_quality,sample_count,lab_sources,manual_source
Cheese,2.4,0.12,0.06,Lab-Verified (48 samples),0.0037,0.0032,0.0092,0.0099,0.0045,0.0081,0.0008,0.0,"Lab-Verified (48 samples from Analytical 360, PSI Labs, SC Labs)",Happiness,"Pain,Anxiety,Inflammation",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,48,"Analytical 360, PSI Labs, SC Labs",None
Cynex,0.6,0.11,0.05,Lab-Verified (48 samples),0.001,0.0006,0.0043,0.0148,0.0042,0.0105,0.0005,0.0,Lab-Verified (48 samples from Analytical 360),Sedation,"Anxiety,Stress",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,48,Analytical 360,None
Lemon Skunk,1.7,0.09,0.1,Lab-Verified (48 samples),0.002,0.0055,0.0078,0.0141,0.0013,0.0059,0.0023,0.0,"Lab-Verified (48 samples from Analytical 360, PSI Labs, SC Labs)","Sedation,Euphoria,Creativity","Pain,Anxiety,Inflammation",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,48,"Analytical 360, PSI Labs, SC Labs",None
Platinum Girl Scout Cookies,1.4,0.09,0.16,Lab-Verified (48 samples),0.0021,0.0013,0.0076,0.014,0.0061,0.0129,0.0002,0.0,"Lab-Verified (48 samples from Analytical 360, PSI Labs, SC Labs)",Sedation,"Pain,Anxiety,Insomnia,Inflammation",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,48,"Analytical 360, PSI Labs, SC Labs",None
BHO Blue Dream,6.4,0.49,0.21,Lab-Verified (47 samples),0.0029,0.0049,0.017,0.0427,0.0141,0.0085,0.0021,0.0,Lab-Verified (47 samples from Analytical 360),"Sedation,Focus,Creativity","Pain,Anxiety,Insomnia,Inflammation",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,47,Analytical 360,None
Bubble Gum,2.8,0.12,0.09,Lab-Verified (46 samples),0.0075,0.0029,0.0055,0.0085,0.004,0.0095,0.0003,0.0002,"Lab-Verified (46 samples from Analytical 360, PSI Labs, SC Labs)",Relaxation,"Pain,Anxiety,Insomnia",Auto-generated from terpene profile,Indica,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,46,"Analytical 360, PSI Labs, SC Labs",None
Blackberry,1.1,0.14,0.08,Lab-Verified (44 samples),0.0041,0.0002,0.0052,0.0072,0.0035,0.0057,0.0,0.0,"Lab-Verified (44 samples from Analytical 360, PSI Labs)",Happiness,"Anxiety,Stress",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,44,"Analytical 360, PSI Labs",None
Romulan,0.8,0.12,0.16,Lab-Verified (44 samples),0.0047,0.0002,0.0053,0.0084,0.0026,0.012,0.0009,0.0,"Lab-Verified (44 samples from Analytical 360, PSI Labs)",Happiness,"Anxiety,Insomnia",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,44,"Analytical 360, PSI Labs",None
White Rhino,0.9,0.14,0.16,Lab-Verified (43 samples),0.0047,0.0043,0.0043,0.0092,0.0023,0.0066,0.0015,0.0,Lab-Verified (43 samples from Analytical 360),Creativity,"Anxiety,Insomnia",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,43,Analytical 360,None
Grand Daddy Purple,3.7,0.1,0.15,Lab-Verified (42 samples),0.0188,0.0028,0.0088,0.0068,0.0135,0.0076,0.0002,0.0076,"Lab-Verified (42 samples from Analytical 360, PSI Labs, SC Labs)","Relaxation,Sedation","Pain,Insomnia,Inflammation",Auto-generated from terpene profile,Indica,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,42,"Analytical 360, PSI Labs, SC Labs",None
Jack the Ripper,1.3,0.14,0.1,Lab-Verified (42 samples),0.0019,0.0066,0.0038,0.009,0.0033,0.0041,0.0038,0.0004,"Lab-Verified (42 samples from Analytical 360, SC Labs)","Euphoria,Creativity","Anxiety,Stress",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,42,"Analytical 360, SC Labs",None
Strawberry Cough,15.0,0.1,0.0,Manual (Terpene Parser),0.0246,0.0032,0.0059,0.0117,0.0113,0.0041,0.0012,0.0259,"Lab-Verified (42 samples from Analytical 360, PSI Labs, SC Labs)","Energy,Euphoria,Focus","Stress,Depression,Fatigue,Anxiety",Manual (Terpene Parser),Sativa,Manual (Terpene Parser),Hybrid - Lab terpenes + Manual metadata,42,"Analytical 360, PSI Labs, SC Labs",Terpene Parser
Black Cherry Soda,0.6,0.14,0.16,Lab-Verified (41 samples),0.0021,0.0012,0.0046,0.0041,0.0016,0.0033,0.0007,0.0,Lab-Verified (41 samples from Analytical 360),Happiness,Stress,Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,41,Analytical 360,None
Critical Mass,1.5,0.77,0.09,Lab-Verified (41 samples),0.0035,0.0,0.0043,0.0076,0.0027,0.0074,0.0005,0.0,Lab-Verified (41 samples from Analytical 360),Happiness,"Anxiety,Inflammation",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,41,Analytical 360,None
XJ-13,18.0,0.1,0.0,Manual (Terpene Parser),0.0013,0.0082,0.0054,0.0087,0.001,0.004,0.0039,0.0012,"Lab-Verified (41 samples from Analytical 360, SC Labs)","Energy,Focus,Euphoria","Depression,Fatigue,Stress,Focus",Manual (Terpene Parser),Sativa,Manual (Terpene Parser),Hybrid - Lab terpenes + Manual metadata,41,"Analytical 360, SC Labs",Terpene Parser
Agent Orange,3.5,0.09,0.08,Lab-Verified (40 samples),0.0052,0.0008,0.0021,0.0018,0.0011,0.0027,0.0007,0.0,"Lab-Verified (40 samples from Analytical 360, PSI Labs)",Happiness,Stress,Auto-generated from terpene profile,Indica,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,40,"Analytical 360, PSI Labs",None
GDP,4.4,0.11,0.19,Lab-Verified (40 samples),0.0056,0.0012,0.0041,0.0079,0.0065,0.0052,0.0001,0.0009,"Lab-Verified (40 samples from Analytical 360, SC Labs)",Happiness,"Anxiety,Stress",Auto-generated from terpene profile,Indica,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,40,"Analytical 360, SC Labs",None
ACDC,6.0,14.0,0.0,Manual (Lab Verified),0.0219,0.002,0.004,0.0,0.0185,0.0023,0.0015,0.0,"Lab-Verified (39 samples from Analytical 360, PSI Labs, SC Labs)","Relaxation,Clarity,Focus","Pain,Anxiety,Inflammation,Seizures",Manual (Lab Verified),Sativa,Manual (Lab Verified),Hybrid - Lab terpenes + Manual metadata,39,"Analytical 360, PSI Labs, SC Labs",Lab Verified
Kimbo Kush,0.7,0.13,0.01,Lab-Verified (39 samples),0.0007,0.0007,0.005,0.002,0.0012,0.0052,0.0,0.0,"Lab-Verified (39 samples from Analytical 360, PSI Labs, SC Labs)",Happiness,Stress,Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,39,"Analytical 360, PSI Labs, SC Labs",None
Hawaiian Dutch,0.9,0.16,0.49,Lab-Verified (38 samples),0.009,0.0022,0.0024,0.0124,0.0008,0.003,0.0007,0.0,Lab-Verified (38 samples from Analytical 360),"Relaxation,Sedation","Pain,Anxiety,Insomnia",Auto-generated from terpene profile,Indica,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,38,Analytical 360,None
