strain_name,thc_percent,cbd_percent,cbn_percent,myrcene,limonene,caryophyllene,linalool,pinene,humulene,terpinolene,ocimene,primary_effects,medical_uses,strain_type,data_quality,sample_count,data_source,cbg_percent,thcv_percent,cbc_percent,cbdv_percent,sample_count
Kimbo Kush,0.7,0.13,0.01,0.0007,0.0007,0.005,0.002,0.0012,0.0052,0.0,0.0,Happiness,Stress,Hybrid,Lab-Only - All data from laboratory testing,39,"Lab-Verified: 39 samples from Analytical 360, PSI Labs, SC Labs",0.2463636363636363,0.01,0.055,0.0,62
Hawaiian Dutch,0.9,0.16,0.49,0.009,0.0022,0.0024,0.0124,0.0008,0.003,0.0007,0.0,"Relaxation,Sedation","Pain,Anxiety,Insomnia",Indica,Lab-Only - All data from laboratory testing,38,Lab-Verified: 38 samples from Analytical 360,1.128181818181818,0.0,0.14949152542372884,0.0,76
LA Confidential,16.0,0.1,0.2,0.0024,0.0036,0.005,0.014,0.0051,0.0097,0.0,0.0001,"Sedation,Relaxation,Euphoria","Insomnia,Pain,Stress,Anxiety",Indica,Hybrid - Lab terpenes + Manual metadata,38,Hybrid: Lab terpenes (38 samples) + Manual metadata,0.25666666666666665,0.07,0.10999999999999999,0.0,57
AC/DC,0.6,0.76,0.15,0.0068,0.0016,0.0036,0.0011,0.0027,0.0023,0.0009,0.0007,Relaxation,"Pain,Inflammation",Indica,Lab-Only - All data from laboratory testing,37,"Lab-Verified: 37 samples from Analytical 360, SC Labs",0.6417499999999999,0.13666666666666666,0.6120967741935484,0.23333333333333336,76
Blue Rhino,2.4,0.19,0.18,0.0042,0.0056,0.0056,0.0122,0.004,0.0027,0.0008,0.0,"Sedation,Euphoria,Creativity","Anxiety,Insomnia",Hybrid,Lab-Only - All data from laboratory testing,36,"Lab-Verified: 36 samples from Analytical 360, PSI Labs",0.4976190476190477,0.0,0.2963636363636364,0.0,47
White Russian,1.2,0.12,0.08,0.0038,0.0025,0.004,0.0095,0.0027,0.0051,0.0017,0.0004,Happiness,"Anxiety,Stress",Hybrid,Lab-Only - All data from laboratory testing,36,Lab-Verified: 36 samples from Analytical 360,0.40304347826086945,0.0,0.22685714285714284,0.0,58
Purple Urkle,0.7,0.08,0.16,0.0056,0.0035,0.0039,0.0093,0.0065,0.0076,0.0009,0.0,Focus,"Anxiety,Insomnia",Indica,Lab-Only - All data from laboratory testing,35,"Lab-Verified: 35 samples from Analytical 360, SC Labs",0.35758620689655174,0.04,0.28243243243243243,0.0,66
Grape God,3.1,0.2,0.1,0.0059,0.002,0.0082,0.0123,0.0039,0.0047,0.0011,0.0001,Sedation,"Pain,Anxiety,Inflammation",Indica,Lab-Only - All data from laboratory testing,34,Lab-Verified: 34 samples from Analytical 360,0.8810000000000002,0.14250000000000002,0.31016393442622947,0.0,82
Pineapple Chunk,4.2,0.15,0.1,0.0034,0.0018,0.0085,0.0114,0.0034,0.0066,0.0023,0.0,Sedation,"Pain,Anxiety,Inflammation",Hybrid,Lab-Only - All data from laboratory testing,34,"Lab-Verified: 34 samples from Analytical 360, PSI Labs, SC Labs",1.191470588235294,0.21523809523809523,0.29,0.0,60
Sensi Star,1.4,0.14,0.12,0.0091,0.0083,0.008,0.0116,0.0059,0.0089,0.01,0.04,"Relaxation,Sedation,Euphoria","Pain,Anxiety,Insomnia,Inflammation",Hybrid,Lab-Only - All data from laboratory testing,34,"Lab-Verified: 34 samples from Analytical 360, PSI Labs",0.44449999999999995,0.15,0.11026315789473685,0.0,61
Sour OG,2.1,0.1,0.08,0.0023,0.0008,0.0047,0.0078,0.0057,0.0115,0.0005,0.0,Happiness,"Anxiety,Stress",Hybrid,Lab-Only - All data from laboratory testing,34,"Lab-Verified: 34 samples from Analytical 360, PSI Labs, SC Labs",0.39846153846153853,0.08181818181818182,0.1475,0.0,78
Tangerine Dream,5.8,0.15,0.37,0.0041,0.0119,0.0036,0.0125,0.0044,0.0045,0.0008,0.0,"Sedation,Euphoria,Energy","Anxiety,Insomnia,Depression",Sativa,Lab-Only - All data from laboratory testing,34,"Lab-Verified: 34 samples from Analytical 360, PSI Labs",0.6780952380952382,0.08666666666666667,0.23666666666666664,0.0,59
